,location,date,vaccine,source_url,total_vaccinations,total_vaccinations_per_hundred,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_vaccinations,daily_change_in_vaccinations,daily_vaccinations_per_million
0,India,15-01-2021,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350459098203004927,0,0,0,0,0,0,0,0,0
1,India,16-01-2021,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350459098203004928,191181,0.01,191181,0.01,0,0,191181,191181,139
2,India,17-01-2021,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350815129177260034,224301,0.02,224301,0.02,0,0,112150,-79031,81
3,India,18-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,454049,0.03,454049,0.03,0,0,151350,39200,110
4,India,19-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,674835,0.05,674835,0.05,0,0,168709,17359,122
5,India,20-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,806484,0.06,806484,0.06,0,0,161297,-7412,117
6,India,21-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1043534,0.08,1043534,0.08,0,0,173922,12625,126
7,India,22-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1390592,0.1,1390592,0.1,0,0,198656,24734,144
8,India,23-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1582201,0.11,1582201,0.11,0,0,198717,61,144
9,India,24-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1615504,0.12,1615504,0.12,0,0,198743,26,144
10,India,25-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2023809,0.15,2023809,0.15,0,0,224251,25508,163
11,India,26-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2029480,0.15,2029480,0.15,0,0,193521,-30730,140
12,India,27-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2355979,0.17,2355979,0.17,0,0,221356,27835,160
13,India,28-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2928053,0.21,2928053,0.21,0,0,269217,47861,195
14,India,29-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3500027,0.25,3500027,0.25,0,0,301348,32131,218
15,India,30-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3744334,0.27,3744334,0.27,0,0,308876,7528,224
16,India,31-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3758843,0.27,3758843,0.27,0,0,306191,-2685,222
17,India,02-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3950156,0.29,3950156,0.29,0,0,275192,-30999,199
18,India,02-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4138918,0.3,4138918,0.3,0,0,301348,26156,218
19,India,02-03-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4449552,0.32,4449552,0.32,0,0,299082,-2266,217
20,India,02-04-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4959445,0.36,4959445,0.36,0,0,290199,-8883,210
21,India,02-05-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5416849,0.39,5416849,0.39,0,0,273832,-16367,198
22,India,02-06-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5775322,0.42,5775322,0.42,0,0,290141,16309,210
23,India,02-07-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5812362,0.42,5812362,0.42,0,0,293360,3219,213
24,India,02-08-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,6259008,0.45,6259008,0.45,0,0,329836,36476,239
25,India,02-09-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,6611561,0.48,6611561,0.48,0,0,353235,23399,256
26,India,02-10-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7017114,0.51,7017114,0.51,0,0,366795,13560,266
27,India,02-11-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7505010,0.54,7505010,0.54,0,0,363652,-3143,264
28,India,02-12-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7967647,0.58,7967647,0.58,0,0,364400,748,264
29,India,13-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1697804,8052454,0.58,8044786,0.58,7668,0,325305,-39095,236
30,India,15-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698251,8516771,0.62,8418653,0.61,98118,0.01,322538,-2767,234
31,India,16-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698525,8857341,0.64,8641002,0.63,216339,0.02,320826,-1712,232
